Date,Year,Temp Avg (°C),Precipitation (mm),Windspeed (km/h),Humidity (%),Temp Avg (°C)_norm,Precipitation (mm)_norm,Windspeed (km/h)_norm,Humidity (%)_norm,Qty (Sales)_BRUSHETTA CLASSICA - 2502,Qty (Sales)_FOC ROSEMARY - 7512,Qty (Sales)_LASAGNE - 3513,Qty (Sales)_MOZZARELLA FRITTA - 2003,Qty (Sales)_NONNAS BURGER - 6502,Qty (Sales)_ONION RINGS - 7507,Qty (Sales)_PENNE ARRABBIATA - 3500,Qty (Sales)_PENNE CON POLLO - 3507,Qty (Sales)_PENNE SALSICCIA - 3506,Qty (Sales)_PZ MARGHERITA - 4500,Qty (Sales)_PZ MESSICANA - 4504,Qty (Sales)_RIBEYE STEAK - 6501,Qty (Sales)_SKINNY FRIES - 7510,Qty (Sales)_SPAG BOLGNESE - 3504,Qty (Sales)_SPAG CARBONARA - 3503,Qty (Sales)_SPAG POMODORO - 3502,Qty (Sales)_TA FOC ROSE - 25600,Qty (Sales)_TA LASAGNE - 25200,Qty (Sales)_TA MARG PZ - 25300,Qty (Sales)_TA NONNAS BURGER - 25106,Qty (Sales)_TA PENNE ARRABBIATA - 25208,Qty (Sales)_TA PENNE POLLO - 25206,Qty (Sales)_TA PENNE SALSICCIA - 25204,Qty (Sales)_TA SKINNY FRIES - 25505,Qty (Sales)_TA SPAG BOLOGNESE - 25203,Qty (Sales)_TA SPAG CARBONARA - 25202,Qty (Sales)_TA SPAG POMODORO - 25209,Gross Rev._BRUSHETTA CLASSICA - 2502,Gross Rev._FOC ROSEMARY - 7512,Gross Rev._LASAGNE - 3513,Gross Rev._MOZZARELLA FRITTA - 2003,Gross Rev._NONNAS BURGER - 6502,Gross Rev._ONION RINGS - 7507,Gross Rev._PENNE ARRABBIATA - 3500,Gross Rev._PENNE CON POLLO - 3507,Gross Rev._PENNE SALSICCIA - 3506,Gross Rev._PZ MARGHERITA - 4500,Gross Rev._PZ MESSICANA - 4504,Gross Rev._RIBEYE STEAK - 6501,Gross Rev._SKINNY FRIES - 7510,Gross Rev._SPAG BOLGNESE - 3504,Gross Rev._SPAG CARBONARA - 3503,Gross Rev._SPAG POMODORO - 3502,Gross Rev._TA FOC ROSE - 25600,Gross Rev._TA LASAGNE - 25200,Gross Rev._TA MARG PZ - 25300,Gross Rev._TA NONNAS BURGER - 25106,Gross Rev._TA PENNE ARRABBIATA - 25208,Gross Rev._TA PENNE POLLO - 25206,Gross Rev._TA PENNE SALSICCIA - 25204,Gross Rev._TA SKINNY FRIES - 25505,Gross Rev._TA SPAG BOLOGNESE - 25203,Gross Rev._TA SPAG CARBONARA - 25202,Gross Rev._TA SPAG POMODORO - 25209,Net Rev._BRUSHETTA CLASSICA - 2502,Net Rev._FOC ROSEMARY - 7512,Net Rev._LASAGNE - 3513,Net Rev._MOZZARELLA FRITTA - 2003,Net Rev._NONNAS BURGER - 6502,Net Rev._ONION RINGS - 7507,Net Rev._PENNE ARRABBIATA - 3500,Net Rev._PENNE CON POLLO - 3507,Net Rev._PENNE SALSICCIA - 3506,Net Rev._PZ MARGHERITA - 4500,Net Rev._PZ MESSICANA - 4504,Net Rev._RIBEYE STEAK - 6501,Net Rev._SKINNY FRIES - 7510,Net Rev._SPAG BOLGNESE - 3504,Net Rev._SPAG CARBONARA - 3503,Net Rev._SPAG POMODORO - 3502,Net Rev._TA FOC ROSE - 25600,Net Rev._TA LASAGNE - 25200,Net Rev._TA MARG PZ - 25300,Net Rev._TA NONNAS BURGER - 25106,Net Rev._TA PENNE ARRABBIATA - 25208,Net Rev._TA PENNE POLLO - 25206,Net Rev._TA PENNE SALSICCIA - 25204,Net Rev._TA SKINNY FRIES - 25505,Net Rev._TA SPAG BOLOGNESE - 25203,Net Rev._TA SPAG CARBONARA - 25202,Net Rev._TA SPAG POMODORO - 25209,Day of the Week_Friday,Day of the Week_Monday,Day of the Week_Saturday,Day of the Week_Sunday,Day of the Week_Thursday,Day of the Week_Tuesday,Day of the Week_Wednesday,Is_Holiday,Is_Weekend,Month,Quarter,Dish_Type_Side,Dish_Type_Starter,Total_Daily_Sales
2022-01-11,2022,5.4,15.265399999999998,25.2,87.1,-0.8863333381724052,-0.5068739196541838,0.0158138911451965,0.6228749609510366,11.0,2.0,2.0,2.0,1.0,0.0,4.0,3.0,7.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,65.45,11.9,19.9,13.0,12.95,0.0,35.8,32.85,76.65,8.95,0.0,0.0,17.25,9.45,0.0,0.0,0.0,0.0,6.5,0.0,0.0,7.8,0.0,2.0,0.0,0.0,0.0,54.54,9.92,16.58,10.83,10.79,0.0,29.83,27.38,63.88,7.46,0.0,0.0,14.38,7.88,0.0,0.0,0.0,0.0,5.42,0.0,0.0,6.5,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,0,0,42.0
2022-01-12,2022,7.9,0.0,26.8,88.9,-0.363629808745455,-0.6228339260418585,0.1837286625778296,0.8540581089016817,5.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,6.0,2.0,4.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.75,11.9,19.9,19.5,12.95,7.9,26.85,32.85,43.8,8.95,71.7,45.9,13.8,18.9,19.9,26.85,4.95,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,24.79,9.92,16.58,16.25,10.79,6.58,22.38,27.38,36.5,7.46,59.75,38.25,11.5,15.75,16.58,22.38,4.12,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,0,48.0
2022-01-13,2022,7.1,2.8956,25.7,88.1,-0.5308949381620792,-0.6008381843976074,0.0682872572178943,0.7513100431458386,3.0,4.0,7.0,5.0,0.0,0.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,17.85,23.8,69.65,32.5,0.0,0.0,35.8,43.8,54.75,26.85,47.8,45.9,10.35,28.35,49.75,17.9,4.95,7.5,45.5,15.5,6.5,7.8,7.8,4.0,0.0,7.5,0.0,14.88,19.83,58.04,27.08,0.0,0.0,29.83,36.5,45.62,22.38,39.83,38.25,8.62,23.62,41.46,14.92,4.12,6.25,37.92,12.92,5.42,6.5,6.5,3.33,0.0,6.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,0,71.0
2022-01-14,2022,6.4,4.3434,20.0,93.4,-0.6772519264016251,-0.5898403135754818,-0.5299091160108605,1.4320159787782905,11.0,8.0,6.0,17.0,4.0,0.0,8.0,11.0,11.0,6.0,6.0,2.0,8.0,4.0,7.0,2.0,2.0,0.0,10.0,2.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,65.45,47.6,59.7,110.5,51.8,0.0,71.6,120.45,120.45,53.7,71.7,45.9,27.6,37.8,69.65,17.9,9.9,0.0,65.0,15.5,19.5,0.0,15.6,6.0,7.5,7.5,0.0,54.54,39.67,49.75,92.08,43.17,0.0,59.67,100.38,100.38,44.75,59.75,38.25,23.0,31.5,58.04,14.92,8.25,0.0,54.17,12.92,16.25,0.0,13.0,5.0,6.25,6.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,135.0
2022-01-15,2022,4.4,13.8176,17.4,91.1,-1.0954147499431852,-0.5178717904763094,-0.8027706195888894,1.1366152897302444,17.0,12.0,11.0,15.0,2.0,2.0,8.0,10.0,13.0,10.0,8.0,0.0,13.0,6.0,5.0,1.0,1.0,2.0,10.0,0.0,0.0,5.0,2.0,6.0,3.0,0.0,0.0,101.15,71.4,109.45,97.5,25.9,7.9,71.6,109.5,142.35,89.5,95.6,0.0,44.85,56.7,49.75,8.95,4.95,15.0,65.0,0.0,0.0,39.0,15.6,12.0,22.5,0.0,0.0,84.29,59.5,91.21,81.25,21.58,6.58,59.67,91.25,118.62,74.58,79.67,0.0,37.38,47.25,41.46,7.46,4.12,12.5,54.17,0.0,0.0,32.5,13.0,10.0,18.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,162.0
2022-01-16,2022,5.5,9.1948,28.4,81.7,-0.8654251969953273,-0.5529877990662542,0.3516434340104624,-0.0706744829008929,4.0,9.0,2.0,12.0,7.0,0.0,3.0,9.0,7.0,12.0,5.0,0.0,22.0,4.0,10.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,23.8,53.55,19.9,78.0,90.65,0.0,26.85,98.55,76.65,107.4,59.75,0.0,75.9,37.8,99.5,8.95,14.85,0.0,26.0,7.75,0.0,15.6,15.6,6.0,0.0,0.0,6.5,19.83,44.62,16.58,65.0,75.54,0.0,22.38,82.12,63.88,89.5,49.79,0.0,63.25,31.5,82.92,7.46,12.38,0.0,21.67,6.46,0.0,13.0,13.0,5.0,0.0,0.0,5.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,0,0,123.0
2022-01-17,2022,5.7,0.0,24.1,87.3,-0.8236089146411713,-0.6228339260418585,-0.0996275142147384,0.6485619773899973,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.95,5.95,29.85,13.0,0.0,0.0,8.95,0.0,0.0,8.95,11.95,0.0,3.45,9.45,0.0,17.9,0.0,7.5,0.0,0.0,6.5,0.0,0.0,4.0,0.0,0.0,0.0,4.96,4.96,24.88,10.83,0.0,0.0,7.46,0.0,0.0,7.46,9.96,0.0,2.88,7.88,0.0,14.92,0.0,6.25,0.0,0.0,5.42,0.0,0.0,3.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,18.0
2022-01-18,2022,5.6,38.099999999999994,31.2,90.9,-0.8445170558182493,-0.3334162728280282,0.6454942840175703,1.1109282732912855,2.0,1.0,1.0,5.0,4.0,0.0,5.0,3.0,2.0,4.0,1.0,0.0,8.0,2.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,11.9,5.95,9.95,32.5,51.8,0.0,44.75,32.85,21.9,35.8,11.95,0.0,27.6,18.9,49.75,8.95,4.95,0.0,13.0,15.5,0.0,15.6,7.8,6.0,15.0,22.5,6.5,9.92,4.96,8.29,27.08,43.17,0.0,37.29,27.38,18.25,29.83,9.96,0.0,23.0,15.75,41.46,7.46,4.12,0.0,10.83,12.92,0.0,13.0,6.5,5.0,12.5,18.75,5.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,0,0,61.0
2022-01-19,2022,5.9,86.6648,36.6,80.1,-0.7817926322870152,0.0354947624685342,1.2122066376027067,-0.2761706144125772,9.0,3.0,3.0,6.0,1.0,0.0,2.0,6.0,6.0,7.0,3.0,3.0,9.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,53.55,17.85,29.85,39.0,12.95,0.0,17.9,65.7,65.7,62.65,35.85,68.85,31.05,28.35,9.95,0.0,0.0,0.0,6.5,0.0,0.0,7.8,7.8,2.0,0.0,15.0,0.0,44.62,14.88,24.88,32.5,10.79,0.0,14.92,54.75,54.75,52.21,29.88,57.38,25.88,23.62,8.29,0.0,0.0,0.0,5.42,0.0,0.0,6.5,6.5,1.67,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,0,68.0
2022-01-20,2022,1.9,0.0,13.4,82.3,-1.6181182793701354,-0.6228339260418585,-1.2225575481704716,0.0063865664159875,4.0,3.0,1.0,8.0,0.0,0.0,2.0,0.0,3.0,5.0,3.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,7.0,1.0,1.0,2.0,23.8,17.85,9.95,52.0,0.0,0.0,17.9,0.0,32.85,44.75,35.85,0.0,13.8,18.9,19.9,8.95,0.0,0.0,19.5,0.0,13.0,7.8,0.0,14.0,7.5,7.5,13.0,19.83,14.88,8.29,43.33,0.0,0.0,14.92,0.0,27.38,37.29,29.88,0.0,11.5,15.75,16.58,7.46,0.0,0.0,16.25,0.0,10.83,6.5,0.0,11.67,6.25,6.25,10.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,0,55.0
